Player,Shot90,GoalConvRate,DribbleSucRate,TouchInBox90,Pass90,PassAcc,FwdPass90,KeyPass90,PassToBoxAcc,ThruPass90,ThruPassAcc,Score90
C. Ngonge,1.89,22.222,65.52,1.26,20.98,72,4.41,0,16.67,0.21,0,0.42
G. Di Lorenzo,0.47,27.778,67.37,1.33,47.21,79.35,18.33,0.44,53.41,0.7,44.44,0.18
A. El Ghazi,2.01,7.937,75.44,2.8,30.69,74.77,5.86,0.54,48.91,0.38,41.67,0.35
A. Hammill,2.18,10.87,64.9,1.32,22.05,64.16,7.19,0.43,38.75,1.18,32,0.33
M. Egelund,2.18,18.519,64,2.34,25.48,71.84,6.77,0.24,43.75,0.56,14.29,0.4
J. Ngoy,1.14,25,67.16,2,17.85,72.52,4.16,0.34,61.11,0.74,7.69,0.35
J. Absalonsen,1.68,14.706,66.67,2.51,29.97,74.67,7.1,0.64,57.63,0.64,53.85,0.2
C. Jakobsen,1.33,17.143,72.57,3.76,29.75,73.56,9.35,0.46,45.45,1.37,33.33,0.23
T. Ambrose,1.64,10.638,64.29,2.93,22.33,71.05,4.82,0.38,37.8,0.56,18.75,0.41
K. Lala,0.64,19.231,61.08,0.59,46.28,78.88,14.27,0.32,51.81,0.96,28.21,0.35
J. Edmundsson,1.55,11.364,61.96,1.69,31.42,77.53,7.98,0.32,41.38,0.88,40,0.36
R. Rodriguez,1.05,33.333,62.79,1.47,33.33,73.38,11.11,0.56,50,1.4,35,0.63
P. Barrera,1.57,8.772,66.79,1.84,25.08,76.32,5.8,0.55,49.25,0.52,21.05,0.22
M. Rodríguez,0.7,23.81,64.71,1.97,30.47,80.74,8,0.47,49,0.57,47.06,0.3
V. Moses,1.78,15.152,69.5,2.32,31.93,78.34,8.64,0.32,55.77,0.97,38.89,0.22
J. Doku,1.61,14.286,75.11,4.82,31.8,84.12,7.81,0.69,67.65,1.15,50,0.11
G. Massey,1.52,23.81,78.05,2.61,18.36,67.98,4.35,0.51,54.55,0.44,33.33,0.43
T. Chatzigiovanis,1.17,12.5,67.7,1.72,33.18,75.88,6.29,0.29,41.11,0.88,29.17,0.22
I. Moreno,2.72,6.579,66.23,3.08,29.89,80.24,7.91,0.29,49.06,1.04,48.28,0.25
M. Rosheuvel,0.69,25,65.91,1.58,26.58,69.6,5.26,0.62,47.59,0.76,27.27,0.28
W. Sandoval,1.71,14.706,69.05,2.22,35.91,76.3,7.15,0.45,54.74,0.4,25,0.35
G. Acosta,2.39,11.628,78.07,2.5,30.41,78.1,5.38,0.61,50.75,0.67,8.33,0.34
É. Flores,1.94,10.638,66.67,1.69,30.27,80.54,7.7,0.49,54.93,1.11,48.15,0.29
Léo Baptistão,2.93,5.814,56.15,3.37,23.41,76.31,5.07,0.31,53.85,0.95,28.57,0.24
J. Agudelo,1.58,12.195,67.88,2.92,29.99,81.67,7.38,0.27,63.16,0.65,41.18,0.23
Álex Blanco,2.42,9.615,66.67,2.89,22.73,78.28,4.8,0.33,45.65,0.56,16.67,0.32
B. Samudio,1.82,10.417,63.16,3.1,36.47,75.62,8.78,0.57,44.87,1.29,38.24,0.34
P. Bočkaj,2.88,7.143,66.67,1.33,36.61,70.41,13.25,0.21,40.7,2.16,30.95,0.31
A. Iwobi,1.47,8.772,66.11,3.85,43.15,79.56,12.26,0.62,61.99,1.78,36.23,0.36
Rúben Macedo,2.07,13.889,70.59,2.18,15.75,68.25,3.39,0.23,42.11,0.34,33.33,0.35
Niltinho,1.47,11.905,64.16,2.31,24.17,70.68,6.38,0.18,44.44,0.39,18.18,0.25
Ruan Teles,1.65,11.538,79.46,2.09,28.92,79.61,7.99,0.51,59.18,1.21,31.58,0.45
C. Burke,1.14,13.514,66.23,1.3,24.12,72.22,7.29,0.22,48.15,0.37,41.67,0.3
Hélder Barbosa,1.75,8.197,75.3,1.43,34.82,78.88,9.01,0.37,47.87,0.72,44,0.25
R. Lamah,1.27,15.152,65.45,2.66,28.14,75.62,7.01,0.39,65.08,1.19,35.48,0.27
J. Kopic,1.49,13.158,69.61,3.2,30.83,77.57,6.96,0.51,54.55,0.78,35,0.43
Nildo Petrolina,2.83,5.063,71.76,2.51,29.9,75.81,9.42,0.5,61.34,1.22,38.24,0.32
M. Dossevi,0.74,20.833,69.3,2.61,29.57,72.07,5.4,0.61,49.56,0.37,33.33,0.21
F. Otero,2.43,7.042,57.14,2.4,26.25,73.89,6,0.21,39.47,0.62,33.33,0.2
F. Honorat,2.06,7.042,59.39,4,32,69.57,7.48,0.78,49.03,1.04,30.56,0.4
R. Steffen,1.34,19.231,69.49,1.96,30.4,76.4,7.22,0.26,57.14,0.52,40,0.31
J. Brekalo,1.95,11.628,70,2.13,37.31,76.16,10.8,0.18,59.09,1.09,45.83,0.37
T. Heintz,2.35,8.333,61.35,2.35,30.81,72.68,11.59,0.23,57.5,1.29,30.3,0.28
Djalma,1.67,9.091,70.54,2.21,27.92,72.31,9.25,0.36,44.25,1.15,31.58,0.21
J. Hyka,1.91,13.158,78.57,3.62,32.09,87.48,6.03,0.35,58.97,0.2,50,0.4
J. Opoku,1.9,10.417,52.94,3.21,21.72,75,6.74,0.52,70.45,0.48,66.67,0.32
E. Babayan,2.03,11.364,69.57,2.3,21.74,66.74,5.85,0.18,37.29,0.6,30.77,0.32
L. Ocampos,1.86,7.143,61.67,2.74,26.09,78.82,5.92,0.29,47.31,0.37,35.71,0.32
Aylton Boa Morte,1.16,10.345,73.54,2.32,21.72,71.82,5.6,0.4,61.45,0.84,42.86,0.28
H. Mosquera,3.05,8.929,76,2.72,36.88,78.43,8.88,0.49,49.35,1.58,27.59,0.43
T. Chong,2.14,10.526,71.72,3.27,30.41,78.89,7.55,0.11,65.52,1.13,50,0.22
P. Kadeřábek,0.91,13.514,72.73,1.96,37.53,77.18,11.03,0.68,44.12,0.37,13.33,0.24
K. Kusk,2.43,6.329,66.67,2.12,41.31,74.63,13.62,0.25,47.86,1.26,36.59,0.43
J. Laursen,0.61,27.778,73.49,1.42,40.53,78.2,11.38,0.47,45.05,0.47,35.71,0.27
Cristian Tello,1.85,9.259,78.18,3.32,42.84,86.17,7.64,0.27,52,0.27,25,0.41
K. Risgård,1.81,20,71.05,3.33,48.11,84.36,11.14,0.22,50,0.51,14.29,0.29
V. Tanchyk,1,18.182,72.14,2.19,27.95,69.33,8.84,0.5,50.6,0.82,22.22,0.36
A. Ömür,1.37,11.628,64.71,1.56,39.64,88.61,10.14,0.13,67.27,0.45,57.14,0.41
T. Castagne,0.77,19.231,68.18,1.66,44.82,85.1,12.59,0.18,60.47,0.36,50,0.33
D. Shastal,1.5,21.739,64.71,2.99,16.65,63.67,4.75,0.26,35,0.33,60,0.59
M. Solomon,1.46,12.903,77.44,2.16,34.15,88.03,5.87,0.47,60.78,0.38,37.5,0.28
